GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaqamvn,default,Main,4,0,0,0,2,0,2,0,2,0
javaqamvn,ru.netologi.qa,Radio,0,98,0,16,0,31,0,17,0,9
